obligation,domaine,libelle,periodicite,realisateurs,criticite,champ,conditions,rang,source,reference,article,url,versionConstatee,corpus,statutCorpus,lecture,luLe,versionEnVigueur,prescrit,verbatim,note,alertes
incendie-erp-eclairage-securite-autonomie-semestrielle,incendie,Vérification semestrielle de l'autonomie de l'éclairage de sécurité (ERP),semestrielle,exploitant,4,ERP,,fondement,ARRETE,"Arrêté du 25 juin 1980, art. EC 14 § 3",EC 14,https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000021838315,,arrete-1980-livre-2,retenu,agent (verbatim non recoupé),2026-08-26,2010-05-16,,,"« L'exploitant s'assure périodiquement : — une fois par mois : — du passage à la position de fonctionnement en cas de défaillance de l'alimentation normale et à la vérification de l'allumage de toutes les lampes (le fonctionnement doit être strictement limité au temps nécessaire au contrôle visuel) ; — de l'efficacité de la commande de mise en position de repos à distance et de la remise automatique en position de veille au retour de l'alimentation normale. — une fois tous les six mois, de l'autonomie d'au moins 1 heure. » Version en vigueur depuis le 16 mai 2010, modifiée par l'arrêté du 11 décembre 2009. Texte relu le 23 août 2026.",SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
incendie-erp-extincteurs-annuelle,incendie,Vérification annuelle des extincteurs (ERP),annuelle,personne_qualifiee ou organisme_agree,5,ERP,,fondement,ARRETE,"Arrêté du 25 juin 1980, art. MS 38 § 4",MS 38,https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000020303557/LEGISCTA000020317639/,2008-10-08,arrete-1980-livre-2,retenu,première main,2026-08-26,2008-10-08,,,"« Un extincteur doit faire l'objet d'une vérification annuelle et d'une révision tous les dix ans par une personne ou un organisme compétent. Il doit être marqué d'une étiquette clairement identifiable apposée par la personne ou l'organisme ayant réalisé cette dernière. Les années et les mois des vérifications doivent apparaître sur l'étiquette. Un plan d'implantation des extincteurs et un relevé des vérifications doivent être portés au registre de sécurité. » Le § 2 traite du marquage de l'appareil, pas de sa vérification : il était cité à tort.",SANS_VERBATIM
incendie-erp-extincteurs-annuelle,incendie,Vérification annuelle des extincteurs (ERP),annuelle,personne_qualifiee ou organisme_agree,5,ERP,,contexte 1,ARRETE,"Arrêté du 25 juin 1980, art. MS 73 § 2",MS 73,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000020317755/,,arrete-1980-livre-2,retenu,agent (verbatim non recoupé),2026-08-26,1980-08-15,"La triennale du § 2 ne vise QUE les systèmes de sécurité incendie de catégories A et B et les sprinkleurs, par personne ou organisme agréé — relu le 2026-08-27. Une obligation qui l'appliquerait aux SSI sans distinction de catégorie sur-couvrirait. Le § 2 fonde par ailleurs l'annuelle des dispositifs d'extinction automatique de cuisine, que GC 22 ne fonde pas.",,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
incendie-erp-ssi-annuelle,incendie,Vérification annuelle des systèmes de sécurité incendie (SSI) en ERP,annuelle,personne_qualifiee ou organisme_agree,5,ERP,,fondement,ARRETE,"Arrêté du 25 juin 1980, art. MS 73 § 2 (vérification annuelle)",MS 73,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000020317755/,,arrete-1980-livre-2,retenu,agent (verbatim non recoupé),2026-08-26,1980-08-15,"La triennale du § 2 ne vise QUE les systèmes de sécurité incendie de catégories A et B et les sprinkleurs, par personne ou organisme agréé — relu le 2026-08-27. Une obligation qui l'appliquerait aux SSI sans distinction de catégorie sur-couvrirait. Le § 2 fonde par ailleurs l'annuelle des dispositifs d'extinction automatique de cuisine, que GC 22 ne fonde pas.",,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
incendie-erp-ssi-triennale,incendie,Vérification triennale approfondie des SSI de catégorie A ou B (ERP),triennale,organisme_agree,4,ERP cat. N1/N2/N3/N4,,fondement,ARRETE,"Arrêté du 25 juin 1980, art. MS 73 § 2 (vérification triennale par organisme agréé des SSI de catégorie A ou B)",MS 73,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000020317755/,,arrete-1980-livre-2,retenu,agent (verbatim non recoupé),2026-08-26,1980-08-15,"La triennale du § 2 ne vise QUE les systèmes de sécurité incendie de catégories A et B et les sprinkleurs, par personne ou organisme agréé — relu le 2026-08-27. Une obligation qui l'appliquerait aux SSI sans distinction de catégorie sur-couvrirait. Le § 2 fonde par ailleurs l'annuelle des dispositifs d'extinction automatique de cuisine, que GC 22 ne fonde pas.",,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
incendie-erp-baes-annuelle,incendie,Vérification annuelle de l'éclairage de sécurité / BAES (ERP),annuelle,personne_qualifiee,4,ERP,,fondement,ARRETE,"Arrêté du 25 juin 1980, art. EC 15",EC 15,https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000020317463,,arrete-1980-livre-2,retenu,agent (verbatim non recoupé),2026-08-26,1980-08-15,,,"« Vérifications. — Les installations d'éclairage doivent être vérifiées dans les conditions de l'article EL 19. » Version en vigueur depuis le 15 août 1980. EC 15 ne fixe donc aucune périodicité : il renvoie, et c'est EL 19 qui porte les conditions. Texte relu le 23 août 2026.",SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
incendie-erp-baes-annuelle,incendie,Vérification annuelle de l'éclairage de sécurité / BAES (ERP),annuelle,personne_qualifiee,4,ERP,,contexte 1,ARRETE,"Arrêté du 25 juin 1980, art. EL 19",EL 19,https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000021231068,,arrete-1980-livre-2,retenu,agent (verbatim non recoupé),2026-08-26,2010-01-23,,,"Article de destination du renvoi d'EC 15 : c'est lui qui pose les vérifications techniques des installations d'éclairage, dont la périodicité annuelle. **Texte non encore relu au mot près** — Légifrance ne sert pas le corps des articles de cet arrêté à un client automatisé. À confronter avant toute évolution de cette obligation.",SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
incendie-erp-desenfumage-annuelle,incendie,Vérification annuelle des installations de désenfumage (ERP),annuelle,personne_qualifiee,4,ERP,,fondement,ARRETE,"Arrêté du 25 juin 1980, art. DF 10",DF 10,https://www.legifrance.gouv.fr/loda/id/LEGITEXT000020303557/,,arrete-1980-livre-2,retenu,agent (verbatim non recoupé),2026-08-26,2007-10-28,,,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
incendie-erp-ria-annuelle,incendie,Vérification annuelle des robinets d'incendie armés (RIA) en ERP,annuelle,personne_qualifiee,4,ERP,,fondement,ARRETE,"Arrêté du 25 juin 1980, art. MS 73 (appareils et installations fixes)",MS 73,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000020317755/,,arrete-1980-livre-2,retenu,agent (verbatim non recoupé),2026-08-26,1980-08-15,"La triennale du § 2 ne vise QUE les systèmes de sécurité incendie de catégories A et B et les sprinkleurs, par personne ou organisme agréé — relu le 2026-08-27. Une obligation qui l'appliquerait aux SSI sans distinction de catégorie sur-couvrirait. Le § 2 fonde par ailleurs l'annuelle des dispositifs d'extinction automatique de cuisine, que GC 22 ne fonde pas.",,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
incendie-erp-5-visite-commission,incendie,Visite périodique de la commission de sécurité (ERP 5ᵉ avec locaux à sommeil ou installations spécifiques),autre,organisme_agree,4,ERP cat. N5,ALARME_INCENDIE.dessertLocauxSommeil ≠ false (sauf si),fondement,CCH,"CCH, art. R. 143-41 (visites périodiques de la commission)",CCH R. 143-41,https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006074096/LEGISCTA000043819015/,2021-07-01,cch-registre-securite,retenu,première main,2026-08-26,2021-07-01,"Fonde les visites périodiques et inopinées de la commission. Ne fixe AUCUNE périodicité : il renvoie au règlement de sécurité, dont la seule table (GE 4) ne vise que les quatre premières catégories.","« Ces établissements doivent faire l'objet, dans les conditions fixées au règlement de sécurité, de visites périodiques de contrôle et de visites inopinées effectuées par la commission de sécurité compétente. »","« Ces établissements doivent faire l'objet, dans les conditions fixées au règlement de sécurité, de visites périodiques de contrôle et de visites inopinées effectuées par la commission de sécurité compétente. » Verbatim relevé en première main le 2026-08-26. L'article FONDE les visites mais ne fixe AUCUNE périodicité : il renvoie au règlement de sécurité.",
incendie-erp-5-visite-commission,incendie,Visite périodique de la commission de sécurité (ERP 5ᵉ avec locaux à sommeil ou installations spécifiques),autre,organisme_agree,4,ERP cat. N5,ALARME_INCENDIE.dessertLocauxSommeil ≠ false (sauf si),contexte 1,ARRETE,"Arrêté du 25 juin 1980, art. GE 4 — n'est PAS applicable en 5ᵉ catégorie",GE 4,https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000020303557/LEGISCTA000020303874/,2015-01-01,arrete-1980-livre-2,retenu,agent (verbatim non recoupé),2026-08-26,2015-01-01,,,"Cité pour montrer où la périodicité est fixée, et pour quels établissements. « Les établissements des 1re, 2e, 3e et 4e catégories doivent être visités périodiquement par les commissions de sécurité selon la fréquence fixée au tableau suivant. » Le tableau ne comporte aucune ligne de 5ᵉ catégorie, et GE 4 relève du Livre II, écarté par PE 1 § 1. Il ne fonde donc PAS cette obligation.",SANS_VERBATIM
incendie-erp-5-visite-commission,incendie,Visite périodique de la commission de sécurité (ERP 5ᵉ avec locaux à sommeil ou installations spécifiques),autre,organisme_agree,4,ERP cat. N5,ALARME_INCENDIE.dessertLocauxSommeil ≠ false (sauf si),contexte 2,ARRETE,"Arrêté du 25 juin 1980, art. PE 37 (ERP de 5ᵉ catégorie avec locaux à sommeil)",PE 37,https://www.legifrance.gouv.fr/codes/section_lc/JORFTEXT000000290033/LEGISCTA000020374774/,2004-11-24,arrete-1980-livre-3,obligation_manquante,première main,2026-08-26,2004-11-24,,,"« Ces établissements doivent être visités tous les cinq ans par la commission de sécurité compétente ; la fréquence de ces visites peut être augmentée, s'il est jugé nécessaire, par arrêté du maire ou du préfet, après avis de la commission. » Verbatim relevé en première main le 2026-08-26. SEUL article du Livre III fixant une périodicité de visite de commission — et il ne vise que les établissements comportant, pour le public, des locaux à sommeil.",
incendie-igh-moyens-secours-annuelle,incendie,Vérification annuelle des moyens de secours et SSI (IGH),annuelle,organisme_agree,5,IGH,,fondement,ARRETE,"Arrêté du 30 décembre 2011 (règlement IGH), art. GH 5 (vérifications techniques par organismes agréés)",GH 5,https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000025169258,,arrete-2011-12-30-igh,retenu,agent (verbatim non recoupé),2026-08-26,2026-01-01,"TROIS RYTHMES SUR QUATRE NON PORTÉS, relevés le 2026-08-27. « 3.1.1. Tous les six mois » (ascenseurs équipés de dispositifs d'appel prioritaire), « 3.1.3. Tous les deux ans » (paratonnerres), « 3.1.4. Tous les cinq ans » (évaluation de la charge calorifique de GH 61). Seul l'annuel est encodé. Faute de porteur : l'appel prioritaire est une propriété d'ascenseur absente du modèle, et ni les paratonnerres ni la charge calorifique n'ont de catégorie d'équipement. La règle des « 20 % par an » sur les ouvrants de désenfumage n'est PAS un cinquième rythme : c'est un bouclage interne à l'annuel, à couvrir en cinq ans.",,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
aeration-travail-mise-en-service,aeration,Contrôle initial des installations d'aération à la mise en service,mise_en_service_uniquement,personne_qualifiee,4,tout employeur,,fondement,CODE_TRAVAIL,R. 4222-20,R. 4222-20,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000018532294/,,code-travail-risque-chimique,obligation_manquante,première main,2026-08-26,2008-05-01,,,,FONDEMENT_NON_RETENU:obligation_manquante VERSION_JAMAIS_CONSTATEE
aeration-travail-mise-en-service,aeration,Contrôle initial des installations d'aération à la mise en service,mise_en_service_uniquement,personne_qualifiee,4,tout employeur,,contexte 1,CODE_TRAVAIL,R. 4222-21,R. 4222-21,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000036483604/,,code-travail-risque-chimique,retenu,agent (verbatim non recoupé),2026-08-26,2018-01-01,,,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
aeration-travail-mise-en-service,aeration,Contrôle initial des installations d'aération à la mise en service,mise_en_service_uniquement,personne_qualifiee,4,tout employeur,,contexte 2,ARRETE,"Arrêté du 8 octobre 1987, art. 2, 3 et 4",Arrêté 1987-10-08 art. 3,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000863044/,,arrete-1987-10-08-aeration,retenu,agent (verbatim non recoupé),2026-08-26,1988-04-01,,,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
aeration-travail-entretien-annuel,aeration,Contrôle périodique annuel des installations d'aération (travail),annuelle,personne_qualifiee ou personne_competente,4,tout employeur,,fondement,CODE_TRAVAIL,R. 4222-20,R. 4222-20,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000018532294/,,code-travail-risque-chimique,obligation_manquante,première main,2026-08-26,2008-05-01,,,,FONDEMENT_NON_RETENU:obligation_manquante VERSION_JAMAIS_CONSTATEE
aeration-travail-entretien-annuel,aeration,Contrôle périodique annuel des installations d'aération (travail),annuelle,personne_qualifiee ou personne_competente,4,tout employeur,,contexte 1,ARRETE,"Arrêté du 8 octobre 1987, art. 3",Arrêté 1987-10-08 art. 3,https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000006678610,,arrete-1987-10-08-aeration,retenu,agent (verbatim non recoupé),2026-08-26,1988-04-01,,,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
aeration-travail-locaux-pollution-specifique,aeration,Contrôle annuel des installations en locaux à pollution spécifique,annuelle,personne_qualifiee,4,tout employeur,VMC.estLocalPollutionSpecifique = true (seulement si) ET CTA.estLocalPollutionSpecifique = true (seulement si) ET HOTTE_PRO.estLocalPollutionSpecifique = true (seulement si),fondement,ARRETE,"Arrêté du 8 octobre 1987, art. 4",Arrêté 1987-10-08 art. 4,https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000006678611,,arrete-1987-10-08-aeration,retenu,agent (verbatim non recoupé),2026-08-26,1988-04-01,"RYTHME NON PORTÉ, relevé le 2026-08-27. Le b) impose « au minimum tous les six mois lorsqu'il existe un système de recyclage » le contrôle de la concentration en poussières ou autres polluants dans les gaines de recyclage, et de tous les systèmes de surveillance. Il S'AJOUTE à l'annuel du a) et porte sur des objets DIFFÉRENTS — l'un les débits et l'état, l'autre les concentrations. Non encodé : la présence d'un système de recyclage est un attribut d'équipement que le modèle n'a pas.",,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
aeration-erp-chauffage-ventilation-annuelle,aeration,Vérification annuelle des installations techniques de chauffage-ventilation (ERP),annuelle,personne_qualifiee,4,ERP,,fondement,ARRETE,"Arrêté du 25 juin 1980, art. CH 58 (vérification dans les conditions de la section II du chapitre Ier)",CH 58,https://www.legifrance.gouv.fr/codes/section_lc/JORFTEXT000000290033/LEGISCTA000020304588/,,arrete-1980-livre-2,retenu,agent (verbatim non recoupé),2026-08-26,2025-09-10,"RYTHME NON PORTÉ, relevé le 2026-08-27. La rédaction issue de l'arrêté du 1er septembre 2025 ajoute : « les dispositifs de sécurité et les asservissements liés, visés à l'article CH 35 § 3, doivent être vérifiés dans leur totalité tous les 3 ans », plus un contrôle d'étanchéité des systèmes thermodynamiques. Le référentiel ne porte que l'annuelle. Non encodé parce que le texte vise les seuls SYSTÈMES THERMODYNAMIQUES, qu'aucune propriété d'équipement ne distingue d'une CTA ordinaire : poser la triennale sur CTA sur-appliquerait.",,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
aeration-erp-chauffage-ventilation-annuelle,aeration,Vérification annuelle des installations techniques de chauffage-ventilation (ERP),annuelle,personne_qualifiee,4,ERP,,contexte 1,ARRETE,"Arrêté du 25 juin 1980, art. CH 57 (entretien, ramonage annuel des conduits de fumée)",CH 57,https://www.legifrance.gouv.fr/codes/section_lc/JORFTEXT000000290033/LEGISCTA000020304588/,,arrete-1980-livre-2,retenu,agent (verbatim non recoupé),2026-08-26,1980-08-15,,,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
aeration-erp-ps-surveillance-qualite-air-inf-250,aeration,Contrôle biennal de la surveillance de la qualité de l'air — parcs couverts ≤ 250 véhicules (ERP),biennale,personne_qualifiee,3,ERP,VMC.nbVehiculesParkingCouvert <= 250,fondement,ARRETE,"Arrêté du 25 juin 1980, art. PS 32 (rédaction arrêté du 9 mai 2006)",PS 32,https://www.legifrance.gouv.fr/codes/section_lc/JORFTEXT000000290033/LEGISCTA000024812448/,,arrete-1980-livre-4-parcs,retenu,agent (verbatim non recoupé),2026-08-26,2006-07-09,"LECTURE TROP ÉTROITE, relevée le 2026-08-27. Le biennal/annuel selon le seuil de 250 véhicules ne porte PAS sur la seule qualité de l'air : il couvre sept familles d'installations — électriques, désenfumage mécanique, signalisation, alarme, détection, sécurité incendie, moyens de lutte, obturation coupe-feu — dont les dispositifs de surveillance de la qualité de l'air. S'y AJOUTE « lors de leur mise en service puis au moins une fois tous les cinq ans par un organisme agréé », dont la qualité de l'air est le seul poste expressément exclu : la différence porte sur le vérificateur, pas sur la cadence. Non encodés, faute de pouvoir énumérer sans décider à la place du texte.",,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
aeration-erp-ps-surveillance-qualite-air-sup-250,aeration,Contrôle annuel de la surveillance de la qualité de l'air — parcs couverts > 250 véhicules (ERP),annuelle,personne_qualifiee,4,ERP,VMC.nbVehiculesParkingCouvert > 250,fondement,ARRETE,"Arrêté du 25 juin 1980, art. PS 32 (rédaction arrêté du 9 mai 2006)",PS 32,https://www.legifrance.gouv.fr/codes/section_lc/JORFTEXT000000290033/LEGISCTA000024812448/,,arrete-1980-livre-4-parcs,retenu,agent (verbatim non recoupé),2026-08-26,2006-07-09,"LECTURE TROP ÉTROITE, relevée le 2026-08-27. Le biennal/annuel selon le seuil de 250 véhicules ne porte PAS sur la seule qualité de l'air : il couvre sept familles d'installations — électriques, désenfumage mécanique, signalisation, alarme, détection, sécurité incendie, moyens de lutte, obturation coupe-feu — dont les dispositifs de surveillance de la qualité de l'air. S'y AJOUTE « lors de leur mise en service puis au moins une fois tous les cinq ans par un organisme agréé », dont la qualité de l'air est le seul poste expressément exclu : la différence porte sur le vérificateur, pas sur la cadence. Non encodés, faute de pouvoir énumérer sans décider à la place du texte.",,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
aeration-habitation-vmc-gaz-quinquennale,aeration,Contrôle quinquennal du réglage et de la sécurité collective des VMC-Gaz (habitation),quinquennale,personne_qualifiee,5,habitation,VMC.estVmcGaz ≠ false (sauf si),fondement,ARRETE,"Arrêté du 23 février 2018, art. 26 § 5° (opérations quinquennales sur les VMC-gaz)",Arrêté 23-02-2018 art. 26,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000036667631,2023-01-01,arrete-2018-02-23-gaz-habitation,retenu,première main,2026-08-26,2023-01-01,"DEUX périodicités minimales sur les VMC-gaz : annuelle (nettoyage des pales, pièces d'usure, caractéristiques de fonctionnement, détection de défaut) et quinquennale (réglage global du réseau aéraulique, vérification d'ensemble du dispositif de sécurité collective appareil par appareil). Exige un CERTIFICAT remis au propriétaire ou au syndic — et non un contrat écrit, qui relève du § 3° et porte sur un autre objet.","« 5° Les installations collectives de ventilation mécanique contrôlée - gaz, auxquelles sont raccordés des appareils à gaz font l'objet d'opérations périodiques d'entretien et de vérification […] avec l'établissement d'un certificat remis au propriétaire ou au syndic et attestant de leur réalisation effective : Les opérations à une fréquence au moins égale à une fois par an portent sur : […] Les opérations à une fréquence au moins égale à une fois tous les cinq ans portent sur : […] »","« Les opérations à une fréquence au moins égale à une fois tous les cinq ans portent sur : - le contrôle et le réglage global de l'ensemble de l'installation et notamment le réglage général du réseau aéraulique, le réglage ou le remplacement des bouches d'air et d'extraction et le relevé des pressions, etc. ; - la vérification du bon fonctionnement de l'ensemble du dispositif de sécurité collective ; cette vérification porte également sur chaque appareil raccordé. » Verbatim relevé en première main le 2026-08-26.",
aeration-habitation-vmc-gaz-annuelle,aeration,Entretien et vérification annuelle des installations collectives de VMC-Gaz (habitation),annuelle,personne_qualifiee,5,habitation,VMC.estVmcGaz ≠ false (sauf si),fondement,ARRETE,"Arrêté du 23 février 2018, art. 26 § 5° (opérations annuelles sur les VMC-gaz)",Arrêté 23-02-2018 art. 26,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000036667631,2023-01-01,arrete-2018-02-23-gaz-habitation,retenu,première main,2026-08-26,2023-01-01,"DEUX périodicités minimales sur les VMC-gaz : annuelle (nettoyage des pales, pièces d'usure, caractéristiques de fonctionnement, détection de défaut) et quinquennale (réglage global du réseau aéraulique, vérification d'ensemble du dispositif de sécurité collective appareil par appareil). Exige un CERTIFICAT remis au propriétaire ou au syndic — et non un contrat écrit, qui relève du § 3° et porte sur un autre objet.","« 5° Les installations collectives de ventilation mécanique contrôlée - gaz, auxquelles sont raccordés des appareils à gaz font l'objet d'opérations périodiques d'entretien et de vérification […] avec l'établissement d'un certificat remis au propriétaire ou au syndic et attestant de leur réalisation effective : Les opérations à une fréquence au moins égale à une fois par an portent sur : […] Les opérations à une fréquence au moins égale à une fois tous les cinq ans portent sur : […] »","« Les installations collectives de ventilation mécanique contrôlée - gaz, auxquelles sont raccordés des appareils à gaz font l'objet d'opérations périodiques d'entretien et de vérification […] avec l'établissement d'un certificat remis au propriétaire ou au syndic et attestant de leur réalisation effective : Les opérations à une fréquence au moins égale à une fois par an portent sur : - le nettoyage des pales des ventilateurs ; - la vérification et, le cas échéant, le remplacement des pièces d'usure ; - la vérification du maintien des caractéristiques de fonctionnement de la ventilation mécanique contrôlée-gaz, de son état de propreté, du fonctionnement des alarmes éventuelles et de l'absence de dispositifs motorisés raccordés à la ventilation mécanique contrôlée - gaz ; - le bon fonctionnement du système de détection de défaut du dispositif de sécurité collective. » Verbatim relevé en première main le 2026-08-26. L'abrogation de l'arrêté du 25 avril 1985 est confirmée par l'article 32 du même arrêté.",
cuisson-erp-filtres-hebdomadaire,cuisson_hotte,Nettoyage ou remplacement des filtres de hotte (grandes cuisines ERP),hebdomadaire,exploitant,4,ERP,,fondement,ARRETE,"Arrêté du 25 juin 1980, art. GC 21 § 2 (entretien des installations de cuisson)",GC 21,https://www.legifrance.gouv.fr/codes/section_lc/JORFTEXT000000290033/LEGISCTA000020317499/2022-02-10,1980-08-15,arrete-1980-livre-2,retenu,première main,2026-08-26,1980-08-15,"DEUX rythmes : ramonage annuel des conduits avec vérification de leur vacuité, et nettoyage ou remplacement des filtres au minimum HEBDOMADAIRE. Le second ne produisait aucune échéance avant le 2026-08-26 — il vivait dans le libellé d'une référence. Le § 3 impose en outre de noter les dates des vérifications et opérations d'entretien, et d'annexer ce relevé au registre de sécurité.","« § 2. Au moins une fois par an, il doit être procédé au ramonage des conduits d'évacuation et à la vérification de leur vacuité. […] Les filtres doivent être nettoyés ou remplacés aussi souvent que nécessaire et, en tout cas, au minimum une fois par semaine. »","« Pendant les périodes d'activité, les appareils de cuisson et de remise en température, le circuit d'extraction d'air vicié, de buées et de graisses, y compris les ventilateurs et récupérateurs de chaleur éventuels, doivent être nettoyés chaque fois qu'il est nécessaire. Les filtres doivent être nettoyés ou remplacés aussi souvent que nécessaire et, en tout cas, au minimum une fois par semaine. » Verbatim relevé en première main le 2026-08-26.",
cuisson-erp-verification-initiale,cuisson_hotte,Vérification à la mise en service des installations de cuisson (grandes cuisines ERP),mise_en_service_uniquement,organisme_agree,5,ERP,,fondement,ARRETE,"Arrêté du 25 juin 1980, art. GC 22 § 1 (vérification dans les conditions de la section II du chapitre Ier)",GC 22,https://www.legifrance.gouv.fr/codes/section_lc/JORFTEXT000000290033/LEGISCTA000020317519/,,arrete-1980-livre-2,retenu,agent (verbatim non recoupé),2026-08-26,1980-08-15,,,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
cuisson-erp-verification-initiale,cuisson_hotte,Vérification à la mise en service des installations de cuisson (grandes cuisines ERP),mise_en_service_uniquement,organisme_agree,5,ERP,,contexte 1,ARRETE,"Arrêté du 25 juin 1980, art. GE 6 à GE 8 (vérifications par organismes agréés)",GE 6,https://www.legifrance.gouv.fr/codes/section_lc/JORFTEXT000000290033/LEGISCTA000020303884/,,arrete-1980-livre-2,retenu,agent (verbatim non recoupé),2026-08-26,2007-11-19,,,,CORPUS_NE_RENVOIE_PAS SANS_VERBATIM VERSION_FUTURE:2027-06-01 VERSION_JAMAIS_CONSTATEE
cuisson-erp-verification-initiale,cuisson_hotte,Vérification à la mise en service des installations de cuisson (grandes cuisines ERP),mise_en_service_uniquement,organisme_agree,5,ERP,,contexte 2,ARRETE,"Arrêté du 25 juin 1980, art. GC 1 § 3 (définition de la « grande cuisine »)",GC 1,https://www.legifrance.gouv.fr/codes/section_lc/JORFTEXT000000290033/LEGISCTA000020317499/2022-02-10,1980-08-15,arrete-1980-livre-2,retenu,première main,2026-08-26,1980-08-15,"Définit le seuil qui déclenche tout le chapitre X : 20 kW de puissance utile totale, et RIEN D'AUTRE. Aucune mention d'un nombre de couverts, ici ni ailleurs dans le chapitre. Le référentiel annonçait « > 20 kW ou production > 500 couverts simultanés, cf. art. GC 1 » — second critère inventé, corrigé le 2026-08-26. GC 1 distingue par ailleurs la grande cuisine de l'office de remise en température, de l'îlot de cuisson et du module ou conteneur spécialisé, qui relèvent de sections distinctes.","« § 3. Un local ou un groupement de locaux non isolés entre eux comportant des appareils de cuisson et des appareils de remise en température dont la puissance utile totale est supérieure à 20 kW est appelé ""grande cuisine"". »","« Un local ou un groupement de locaux non isolés entre eux comportant des appareils de cuisson et des appareils de remise en température dont la puissance utile totale est supérieure à 20 kW est appelé ""grande cuisine"". » Verbatim relevé en première main le 2026-08-26. C'est le SEUL seuil du chapitre X : aucune mention d'un nombre de couverts.",
cuisson-erp-appareils-annuelle,cuisson_hotte,Vérification annuelle des appareils de cuisson et des dispositifs de sécurité (grandes cuisines ERP),annuelle,personne_qualifiee,4,ERP,,fondement,ARRETE,"Arrêté du 25 juin 1980, art. GC 22",GC 22,https://www.legifrance.gouv.fr/codes/section_lc/JORFTEXT000000290033/LEGISCTA000020317519/,,arrete-1980-livre-2,retenu,agent (verbatim non recoupé),2026-08-26,1980-08-15,,,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
cuisson-gaz-installations-triennale,cuisson_hotte,Vérification triennale des installations de gaz combustible (ERP 5ᵉ catégorie),triennale,personne_qualifiee ou organisme_agree,5,ERP cat. N5,,fondement,ARRETE,"Arrêté du 22 juin 1990 (ERP 5ᵉ catégorie), art. PE 4 § 2, rédaction de l'arrêté du 1er décembre 2025",PE 4,https://www.legifrance.gouv.fr/codes/section_lc/JORFTEXT000000290033/LEGISCTA000020374770/,,arrete-1980-livre-3,obligation_manquante,agent (verbatim non recoupé),2026-08-26,2026-07-01,,,,FONDEMENT_NON_RETENU:obligation_manquante VERSION_JAMAIS_CONSTATEE
cuisson-gaz-installations-triennale,cuisson_hotte,Vérification triennale des installations de gaz combustible (ERP 5ᵉ catégorie),triennale,personne_qualifiee ou organisme_agree,5,ERP cat. N5,,contexte 1,ARRETE,Arrêté du 1er décembre 2025 modifiant le règlement de sécurité ERP (applicable au 1er juillet 2026),Arrêté 2025-12-01,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053020948,,arretes-modificatifs-erp,retenu,première main,2026-08-26,2026-07-01,"Texte modificateur. Il réécrit PE 4 § 2 — « En cours d'exploitation » devient « Tous les trois ans au plus », et « installations de gaz » est ajouté à la liste — et PE 10. Entrée en vigueur différée au 1er juillet 2026, donc en vigueur à ce jour.",,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
